INSEE_CO P11_POP POSTAL_C LIB ATIH_COM ATIH_POP POSTAL_P POP_V OK Nom_de_la_commune POSTAL_COM LibellÈ_d_acheminement Territoire LibTerr
94003 20100 94110 ARCUEIL 94110 20100 20100 20100 1 ARCUEIL 94110 ARCUEIL T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94033 52723 94120 FONTENAY-SOUS-BOIS 94120 52723 52723 52723 1 "FONTENAY SOUS BOIS" 94120 "FONTENAY SOUS BOIS" T10 "T10 ACTEP"
94052 31795 94130 NOGENT-SUR-MARNE 94130 31795 31795 31795 1 "NOGENT SUR MARNE" 94130 "NOGENT SUR MARNE" T10 "T10 ACTEP"
94002 44550 94140 ALFORTVILLE 94140 44550 44550 44550 1 ALFORTVILLE 94140 ALFORTVILLE T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94065 5681 94150 RUNGIS 94150 5681 5681 5681 1 RUNGIS 94150 RUNGIS T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94067 22292 94160 SAINT-MANDE 94160 22292 22292 22292 1 "ST MANDE" 94160 "ST MANDE" T10 "T10 ACTEP"
94058 33214 94170 "LE PERREUX-SUR-MARNE" 94170 33214 33214 33214 1 "LE PERREUX SUR MARNE" 94170 "LE PERREUX SUR MARNE" T10 "T10 ACTEP"
94078 32767 94190 VILLENEUVE-SAINT-GEORGES 94190 32767 32767 32767 1 "VILLENEUVE ST GEORGES" 94190 "VILLENEUVE ST GEORGES" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94041 58185 94200 IVRY-SUR-SEINE 94200 58185 58185 58185 1 "IVRY SUR SEINE" 94200 "IVRY SUR SEINE" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94018 29562 94220 CHARENTON-LE-PONT 94220 29562 29562 29562 1 "CHARENTON LE PONT" 94220 "CHARENTON LE PONT" T10 "T10 ACTEP"
94016 28404 94230 CACHAN 94230 28404 28404 28404 1 CACHAN 94230 CACHAN T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94038 30574 94240 L'HAY-LES-ROSES 94240 30574 30574 30574 1 "L HAY LES ROSES" 94240 "L HAY LES ROSES" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94037 16892 94250 GENTILLY 94250 16892 16892 16892 1 GENTILLY 94250 GENTILLY T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94034 26371 94260 FRESNES 94260 26371 26371 26371 1 FRESNES 94260 FRESNES T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94043 26131 94270 "LE KREMLIN-BICETRE" 94270 26131 26131 26131 1 "LE KREMLIN BICETRE" 94270 "LE KREMLIN BICETRE" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94077 18610 94290 VILLENEUVE-LE-ROI 94290 18610 18610 18610 1 "VILLENEUVE LE ROI" 94290 "VILLENEUVE LE ROI" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94080 48649 94300 VINCENNES 94300 48649 48649 48649 1 VINCENNES 94300 VINCENNES T10 "T10 ACTEP"
94054 21312 94310 ORLY 94310 21312 21312 21312 1 ORLY 94310 ORLY T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94073 29229 94320 THIAIS 94320 29229 29229 29229 1 THIAIS 94320 THIAIS T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94042 17953 94340 JOINVILLE-LE-PONT 94340 17953 17953 17953 1 "JOINVILLE LE PONT" 94340 "JOINVILLE LE PONT" T10 "T10 ACTEP"
94079 27222 94350 VILLIERS-SUR-MARNE 94350 27222 27222 27222 1 "VILLIERS SUR MARNE" 94350 "VILLIERS SUR MARNE" T10 "T10 ACTEP"
94015 15987 94360 BRY-SUR-MARNE 94360 15987 15987 15987 1 "BRY SUR MARNE" 94360 "BRY SUR MARNE" T10 "T10 ACTEP"
94071 25655 94370 SUCY-EN-BRIE 94370 25655 25655 25655 1 "SUCY EN BRIE" 94370 "SUCY EN BRIE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94011 16237 94380 BONNEUIL-SUR-MARNE 94380 16237 16237 16237 1 "BONNEUIL SUR MARNE" 94380 "BONNEUIL SUR MARNE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94081 86375 94400 VITRY-SUR-SEINE 94400 86375 86375 86375 1 "VITRY SUR SEINE" 94400 "VITRY SUR SEINE" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94069 14586 94410 SAINT-MAURICE 94410 14586 14586 14586 1 "ST MAURICE" 94410 "ST MAURICE" T10 "T10 ACTEP"
94059 19095 94420 "LE PLESSIS-TREVISE" 94420 19095 19095 19095 1 "LE PLESSIS TREVISE" 94420 "LE PLESSIS TREVISE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94019 17963 94430 CHENNEVIERES-SUR-MARNE 94430 17963 17963 17963 1 "CHENNEVIERES SUR MARNE" 94430 "CHENNEVIERES SUR MARNE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94048 4916.00000000001 94440 MAROLLES-EN-BRIE 94440 18316 18316 18316 1 "MAROLLES EN BRIE" 94440 "MAROLLES EN BRIE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94070 3687.99999999999 94440 SANTENY 94440 18316 18316 18316 1 SANTENY 94440 SANTENY T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94075 9712.00000000004 94440 VILLECRESNES 94440 18316 18316 18316 1 VILLECRESNES 94440 VILLECRESNES T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94044 20663 94450 LIMEIL-BREVANNES 94450 20663 20663 20663 1 "LIMEIL BREVANNES" 94450 "LIMEIL BREVANNES" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94074 11940 94460 VALENTON 94460 11940 11940 11940 1 VALENTON 94460 VALENTON T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94004 16354 94470 BOISSY-SAINT-LEGER 94470 16354 16354 16354 1 "BOISSY ST LEGER" 94470 "BOISSY ST LEGER" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94001 5220.99999999998 94480 ABLON-SUR-SEINE 94480 5221 5221 5220.99999999998 1 "ABLON SUR SEINE" 94480 "ABLON SUR SEINE" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94055 9921.00000000001 94490 ORMESSON-SUR-MARNE 94490 9921 9921 9921.00000000001 1 "ORMESSON SUR MARNE" 94490 "ORMESSON SUR MARNE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94017 75800 94500 CHAMPIGNY-SUR-MARNE 94500 75800 75800 75800 1 "CHAMPIGNY SUR MARNE" 94500 "CHAMPIGNY SUR MARNE" T10 "T10 ACTEP"
94060 11506 94510 "LA QUEUE-EN-BRIE" 94510 11506 11506 11506 1 "LA QUEUE EN BRIE" 94510 "LA QUEUE EN BRIE" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94047 4415.00000000001 94520 MANDRES-LES-ROSES 94520 6767 6767 6767.00000000001 1 "MANDRES LES ROSES" 94520 "MANDRES LES ROSES" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94056 2352 94520 PERIGNY 94520 6767 6767 6767.00000000001 1 PERIGNY 94520 "PERIGNY SUR YERRES" T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
94021 18532 94550 CHEVILLY-LARUE 94550 18532 18532 18532 1 "CHEVILLY LARUE" 94550 "CHEVILLY LARUE" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94022 41355 94600 CHOISY-LE-ROI 94600 41355 41355 41355 1 "CHOISY LE ROI" 94600 "CHOISY LE ROI" T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94046 53265 94700 MAISONS-ALFORT 94700 53265 53265 53265 1 "MAISONS ALFORT" 94700 "MAISONS ALFORT" T10 "T10 ACTEP"
94076 55923 94800 VILLEJUIF 94800 55923 55923 55923 1 VILLEJUIF 94800 VILLEJUIF T12 "T12 Val de Bièvres - Seine Amont - Grand Orly"
94053 4679 94880 NOISEAU 94880 4679 4679 4679 1 NOISEAU 94880 NOISEAU T11 "T11 Plaine Centrale - Haut Val-de-Marne - Plateau Briand"
95018 104282 95100 ARGENTEUIL 95100 104282 104282 104282 1 ARGENTEUIL 95100 ARGENTEUIL T5 "T5 Boucle Nord 92"
